,sentence,gold
319,उरः स्थानम् उदानस्य नासानाभिगलान् चरेत् वाक्प्रवृत्तिप्रयत्नऊर्जाबलवर्णस्मृतिक्रियः (भवति) (उदानः),"{'tokens': ['उरः', 'स्थानम्', 'उदानस्य', 'नासानाभिगलान्', 'चरेत्', 'वाक्प्रवृत्तिप्रयत्नऊर्जाबलवर्णस्मृतिक्रियः', '(भवति)', '(उदानः)'], 'compounds': [{'span': ['1', '18'], 'label': 'No_rel'}, {'span': ['2', '18'], 'label': 'No_rel'}, {'span': ['3', '18'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '18'], 'label': 'Comp_root'}, {'span': ['7', '18'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['9', '10'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['10', '11'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['11', '12'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['12', '13'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['13', '14'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['14', '15'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['15', '18'], 'label': 'Comp_root'}, {'span': ['16', '18'], 'label': 'No_rel'}, {'span': ['17', '18'], 'label': 'No_rel'}, {'span': ['18', '0'], 'label': 'root'}]}"
320,व्यानः हृदि स्थितः कृत्स्नदेहचारी महाजवः (भवति) .,"{'tokens': ['व्यानः', 'हृदि', 'स्थितः', 'कृत्स्नदेहचारी', 'महाजवः', '(भवति)', '.'], 'compounds': [{'span': ['1', '10'], 'label': 'No_rel'}, {'span': ['2', '10'], 'label': 'No_rel'}, {'span': ['3', '10'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'कर्मधारयः'}, {'span': ['5', '6'], 'label': 'Comp_root'}, {'span': ['6', '10'], 'label': 'विधेय_विशेषणम्'}, {'span': ['7', '10'], 'label': 'No_rel'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
321,गतिअपक्षेपणउतक्षेपनिमेशउन्मेषणआदिकाः प्रायः सर्वाः क्रियाः तस्मिन् (व्याने) प्रतिबद्धाः शरीरिणाम् .,"{'tokens': ['गतिअपक्षेपणउतक्षेपनिमेशउन्मेषणआदिकाः', 'प्रायः', 'सर्वाः', 'क्रियाः', 'तस्मिन्', '(व्याने)', 'प्रतिबद्धाः', 'शरीरिणाम्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'बहुव्रीहिः'}, {'span': ['6', '15'], 'label': 'Comp_root'}, {'span': ['7', '15'], 'label': 'No_rel'}, {'span': ['8', '15'], 'label': 'No_rel'}, {'span': ['9', '15'], 'label': 'No_rel'}, {'span': ['10', '15'], 'label': 'No_rel'}, {'span': ['11', '15'], 'label': 'No_rel'}, {'span': ['12', '15'], 'label': 'No_rel'}, {'span': ['13', '15'], 'label': 'No_rel'}, {'span': ['14', '15'], 'label': 'No_rel'}, {'span': ['15', '0'], 'label': 'root'}]}"
322,समानः अग्निसमीपस्थः कोष्ठे चरति सर्वतः अन्नम् गृह्णाति पचति विवेचयति मुञ्चति (च) .,"{'tokens': ['समानः', 'अग्निसमीपस्थः', 'कोष्ठे', 'चरति', 'सर्वतः', 'अन्नम्', 'गृह्णाति', 'पचति', 'विवेचयति', 'मुञ्चति', '(च)', '.'], 'compounds': [{'span': ['1', '15'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['3', '4'], 'label': 'Comp_root'}, {'span': ['4', '15'], 'label': 'विधेय_विशेषणम्'}, {'span': ['5', '15'], 'label': 'No_rel'}, {'span': ['6', '15'], 'label': 'No_rel'}, {'span': ['7', '15'], 'label': 'No_rel'}, {'span': ['8', '15'], 'label': 'No_rel'}, {'span': ['9', '15'], 'label': 'No_rel'}, {'span': ['10', '15'], 'label': 'No_rel'}, {'span': ['11', '15'], 'label': 'No_rel'}, {'span': ['12', '15'], 'label': 'No_rel'}, {'span': ['13', '15'], 'label': 'No_rel'}, {'span': ['14', '15'], 'label': 'No_rel'}, {'span': ['15', '0'], 'label': 'root'}]}"
323,अपानः अपानगः श्रोणिबस्तिमेढ्रउरूगोचरः (भवति) .,"{'tokens': ['अपानः', 'अपानगः', 'श्रोणिबस्तिमेढ्रउरूगोचरः', '(भवति)', '.'], 'compounds': [{'span': ['1', '11'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'उपपद_तत्पुरुषः'}, {'span': ['3', '11'], 'label': 'Comp_root'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['7', '8'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['8', '11'], 'label': 'Comp_root'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
324,शुक्रआर्तवशकृत्मूत्रगर्भनिष्क्रमणक्रियः (भवति) (अपानः),"{'tokens': ['शुक्रआर्तवशकृत्मूत्रगर्भनिष्क्रमणक्रियः', '(भवति)', '(अपानः)'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '6'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['6', '7'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['7', '10'], 'label': 'Comp_root'}, {'span': ['8', '10'], 'label': 'No_rel'}, {'span': ['9', '10'], 'label': 'No_rel'}, {'span': ['10', '0'], 'label': 'root'}]}"
325,पित्तम् पञ्चआत्मकम् (भवति) .,"{'tokens': ['पित्तम्', 'पञ्चआत्मकम्', '(भवति)', '.'], 'compounds': [{'span': ['1', '6'], 'label': 'No_rel'}, {'span': ['2', '3'], 'label': 'समाहार-द्विगुः'}, {'span': ['3', '6'], 'label': 'Comp_root'}, {'span': ['4', '6'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'No_rel'}, {'span': ['6', '0'], 'label': 'root'}]}"
326,तत्र (पञ्च) (आत्मके) (पित्ते) पक्वआमाशयमध्यगम् (पाचकम्) (स्मृतम्) .,"{'tokens': ['तत्र', '(पञ्च)', '(आत्मके)', '(पित्ते)', 'पक्वआमाशयमध्यगम्', '(पाचकम्)', '(स्मृतम्)', '.'], 'compounds': [{'span': ['1', '12'], 'label': 'No_rel'}, {'span': ['2', '12'], 'label': 'No_rel'}, {'span': ['3', '12'], 'label': 'No_rel'}, {'span': ['4', '12'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['6', '7'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['7', '8'], 'label': 'Comp_root'}, {'span': ['8', '12'], 'label': 'विशेषणम्'}, {'span': ['9', '12'], 'label': 'No_rel'}, {'span': ['10', '12'], 'label': 'No_rel'}, {'span': ['11', '12'], 'label': 'No_rel'}, {'span': ['12', '0'], 'label': 'root'}]}"
327,पञ्चभूतात्मकत्वे अपि यत् तैजसगुणउदयात् (त्यक्तद्रवत्वम्) (तत्) (पाचकम्) (स्मृतम्) (भवति),"{'tokens': ['पञ्चभूतात्मकत्वे', 'अपि', 'यत्', 'तैजसगुणउदयात्', '(त्यक्तद्रवत्वम्)', '(तत्)', '(पाचकम्)', '(स्मृतम्)', '(भवति)'], 'compounds': [{'span': ['1', '2'], 'label': 'समाहार-द्विगुः'}, {'span': ['2', '13'], 'label': 'Comp_root'}, {'span': ['3', '13'], 'label': 'No_rel'}, {'span': ['4', '13'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'कर्मधारयः'}, {'span': ['6', '7'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['7', '13'], 'label': 'Comp_root'}, {'span': ['8', '13'], 'label': 'No_rel'}, {'span': ['9', '13'], 'label': 'No_rel'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
328,त्यक्तद्रवत्वम् पाकआदिकर्मणा अनलशब्दितम् (पाचकम्) (स्मृतम्) .,"{'tokens': ['त्यक्तद्रवत्वम्', 'पाकआदिकर्मणा', 'अनलशब्दितम्', '(पाचकम्)', '(स्मृतम्)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'बहुव्रीहिः'}, {'span': ['2', '11'], 'label': 'Comp_root'}, {'span': ['3', '4'], 'label': 'बहुव्रीहिः'}, {'span': ['4', '5'], 'label': 'कर्मधारयः'}, {'span': ['5', '11'], 'label': 'Comp_root'}, {'span': ['6', '7'], 'label': 'कर्मधारयः'}, {'span': ['7', '11'], 'label': 'Comp_root'}, {'span': ['8', '11'], 'label': 'No_rel'}, {'span': ['9', '11'], 'label': 'No_rel'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
329,पचति अन्नम् विभजते सारकिट्टौ पृथक् तथा .,"{'tokens': ['पचति', 'अन्नम्', 'विभजते', 'सारकिट्टौ', 'पृथक्', 'तथा', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '9'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['5', '9'], 'label': 'Comp_root'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
330,तत्रस्थम् एव पित्तानाम् शेषाणाम् अपि अनुग्रहम् करोति बलदानेन पाचकम् नाम तत् स्मृतम् .,"{'tokens': ['तत्रस्थम्', 'एव', 'पित्तानाम्', 'शेषाणाम्', 'अपि', 'अनुग्रहम्', 'करोति', 'बलदानेन', 'पाचकम्', 'नाम', 'तत्', 'स्मृतम्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['2', '16'], 'label': 'Comp_root'}, {'span': ['3', '16'], 'label': 'No_rel'}, {'span': ['4', '16'], 'label': 'No_rel'}, {'span': ['5', '16'], 'label': 'No_rel'}, {'span': ['6', '16'], 'label': 'No_rel'}, {'span': ['7', '16'], 'label': 'No_rel'}, {'span': ['8', '16'], 'label': 'No_rel'}, {'span': ['9', '16'], 'label': 'No_rel'}, {'span': ['10', '16'], 'label': 'No_rel'}, {'span': ['11', '16'], 'label': 'No_rel'}, {'span': ['12', '16'], 'label': 'No_rel'}, {'span': ['13', '16'], 'label': 'No_rel'}, {'span': ['14', '16'], 'label': 'No_rel'}, {'span': ['15', '16'], 'label': 'No_rel'}, {'span': ['16', '0'], 'label': 'root'}]}"
331,आमाशयआश्रयम् पित्तम् रञ्जकम् रसरञ्जनात् उच्यते .,"{'tokens': ['आमाशयआश्रयम्', 'पित्तम्', 'रञ्जकम्', 'रसरञ्जनात्', 'उच्यते', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'बहुव्रीहिः'}, {'span': ['2', '9'], 'label': 'Comp_root'}, {'span': ['3', '9'], 'label': 'No_rel'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'तृतीया-तत्पुरुषः'}, {'span': ['6', '9'], 'label': 'Comp_root'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
332,बुद्धिमेधाअभिमानआद्यैः अभिप्रेतअर्थसाधनात् साधकम् हृद्गतम् पित्तम् उच्यते .,"{'tokens': ['बुद्धिमेधाअभिमानआद्यैः', 'अभिप्रेतअर्थसाधनात्', 'साधकम्', 'हृद्गतम्', 'पित्तम्', 'उच्यते', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['2', '3'], 'label': 'इतरेतर-द्वन्द्वः'}, {'span': ['3', '4'], 'label': 'बहुव्रीहिः'}, {'span': ['4', '13'], 'label': 'Comp_root'}, {'span': ['5', '6'], 'label': 'कर्मधारयः'}, {'span': ['6', '7'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['7', '13'], 'label': 'Comp_root'}, {'span': ['8', '13'], 'label': 'No_rel'}, {'span': ['9', '13'], 'label': 'No_rel'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
333,रूपआलोचनातः स्मृतम् दृक्स्थम् आलोचकम् .,"{'tokens': ['रूपआलोचनातः', 'स्मृतम्', 'दृक्स्थम्', 'आलोचकम्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['2', '8'], 'label': 'Comp_root'}, {'span': ['3', '8'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['5', '8'], 'label': 'Comp_root'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
334,त्वक्स्थम् भ्राजकम् भ्राजनात् त्वचः (उच्यते) .,"{'tokens': ['त्वक्स्थम्', 'भ्राजकम्', 'भ्राजनात्', 'त्वचः', '(उच्यते)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['2', '8'], 'label': 'Comp_root'}, {'span': ['3', '8'], 'label': 'No_rel'}, {'span': ['4', '8'], 'label': 'No_rel'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
335,श्लेष्मा तु पञ्चधा (भवति) .,"{'tokens': ['श्लेष्मा', 'तु', 'पञ्चधा', '(भवति)', '.'], 'compounds': [{'span': ['1', '6'], 'label': 'No_rel'}, {'span': ['2', '6'], 'label': 'No_rel'}, {'span': ['3', '6'], 'label': 'No_rel'}, {'span': ['4', '6'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'No_rel'}, {'span': ['6', '0'], 'label': 'root'}]}"
336,उरःस्थः सः त्रिकस्य स्ववीर्यतः हृदयस्य अन्नवीर्यात् च अवलम्बनम् करोति (श्लेष्मा),"{'tokens': ['उरःस्थः', 'सः', 'त्रिकस्य', 'स्ववीर्यतः', 'हृदयस्य', 'अन्नवीर्यात्', 'च', 'अवलम्बनम्', 'करोति', '(श्लेष्मा)'], 'compounds': [{'span': ['1', '2'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['2', '14'], 'label': 'Comp_root'}, {'span': ['3', '14'], 'label': 'No_rel'}, {'span': ['4', '14'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['6', '14'], 'label': 'Comp_root'}, {'span': ['7', '14'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['9', '14'], 'label': 'Comp_root'}, {'span': ['10', '14'], 'label': 'No_rel'}, {'span': ['11', '14'], 'label': 'No_rel'}, {'span': ['12', '14'], 'label': 'No_rel'}, {'span': ['13', '14'], 'label': 'No_rel'}, {'span': ['14', '0'], 'label': 'root'}]}"
337,तत्स्थः एव अम्बुकर्मणा कफधाम्नाम् च शेषाणाम् यत् करोति अवलम्बनम् .,"{'tokens': ['तत्स्थः', 'एव', 'अम्बुकर्मणा', 'कफधाम्नाम्', 'च', 'शेषाणाम्', 'यत्', 'करोति', 'अवलम्बनम्', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'सप्तमी-तत्पुरुषः'}, {'span': ['2', '14'], 'label': 'Comp_root'}, {'span': ['3', '14'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['5', '14'], 'label': 'Comp_root'}, {'span': ['6', '7'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['7', '14'], 'label': 'Comp_root'}, {'span': ['8', '14'], 'label': 'No_rel'}, {'span': ['9', '14'], 'label': 'No_rel'}, {'span': ['10', '14'], 'label': 'No_rel'}, {'span': ['11', '14'], 'label': 'No_rel'}, {'span': ['12', '14'], 'label': 'No_rel'}, {'span': ['13', '14'], 'label': 'No_rel'}, {'span': ['14', '0'], 'label': 'root'}]}"
338,अतः अवलम्बकः श्लेष्मा (उच्यते) .,"{'tokens': ['अतः', 'अवलम्बकः', 'श्लेष्मा', '(उच्यते)', '.'], 'compounds': [{'span': ['1', '6'], 'label': 'No_rel'}, {'span': ['2', '6'], 'label': 'No_rel'}, {'span': ['3', '6'], 'label': 'No_rel'}, {'span': ['4', '6'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'No_rel'}, {'span': ['6', '0'], 'label': 'root'}]}"
339,यः (श्लेष्मा) तु आमाशयसंस्थितः क्लेदकः सः अन्नसङ्घातक्लेदनात् (उच्यते) (अस्ति),"{'tokens': ['यः', '(श्लेष्मा)', 'तु', 'आमाशयसंस्थितः', 'क्लेदकः', 'सः', 'अन्नसङ्घातक्लेदनात्', '(उच्यते)', '(अस्ति)'], 'compounds': [{'span': ['1', '13'], 'label': 'No_rel'}, {'span': ['2', '13'], 'label': 'No_rel'}, {'span': ['3', '13'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'सप्तमी-तत्पुरुषः'}, {'span': ['5', '13'], 'label': 'Comp_root'}, {'span': ['6', '13'], 'label': 'No_rel'}, {'span': ['7', '13'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['9', '10'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['10', '13'], 'label': 'Comp_root'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
340,रसबोधनात् बोधकः रसनास्थायी (उच्यते) .,"{'tokens': ['रसबोधनात्', 'बोधकः', 'रसनास्थायी', '(उच्यते)', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['2', '8'], 'label': 'Comp_root'}, {'span': ['3', '8'], 'label': 'No_rel'}, {'span': ['4', '5'], 'label': 'उपपद-तत्पुरुषः'}, {'span': ['5', '8'], 'label': 'Comp_root'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
341,शिरःसंस्थः अक्षतर्पणात् तर्पकः (उच्यते) .,"{'tokens': ['शिरःसंस्थः', 'अक्षतर्पणात्', 'तर्पकः', '(उच्यते)', '.'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '8'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['4', '8'], 'label': 'Comp_root'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
342,सन्धिसंश्लेषात् श्लेषकः (उच्यते) सन्धिषु स्थितः .,"{'tokens': ['सन्धिसंश्लेषात्', 'श्लेषकः', '(उच्यते)', 'सन्धिषु', 'स्थितः', '.'], 'compounds': [{'span': ['1', '2'], 'label': 'षष्ठी-तत्पुरुषः'}, {'span': ['2', '8'], 'label': 'Comp_root'}, {'span': ['3', '8'], 'label': 'No_rel'}, {'span': ['4', '8'], 'label': 'No_rel'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
343,इति प्रायेण दोषाणाम् स्थानानि अविकृतआत्मनाम् (जानीयात्) .,"{'tokens': ['इति', 'प्रायेण', 'दोषाणाम्', 'स्थानानि', 'अविकृतआत्मनाम्', '(जानीयात्)', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '9'], 'label': 'No_rel'}, {'span': ['4', '9'], 'label': 'No_rel'}, {'span': ['5', '6'], 'label': 'बहुव्रीहिः'}, {'span': ['6', '9'], 'label': 'Comp_root'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
344,व्यापिनामपि जानीयात् कर्माणि च पृथक् पृथक् .,"{'tokens': ['व्यापिनामपि', 'जानीयात्', 'कर्माणि', 'च', 'पृथक्', 'पृथक्', '.'], 'compounds': [{'span': ['1', '8'], 'label': 'No_rel'}, {'span': ['2', '8'], 'label': 'No_rel'}, {'span': ['3', '8'], 'label': 'No_rel'}, {'span': ['4', '8'], 'label': 'No_rel'}, {'span': ['5', '8'], 'label': 'No_rel'}, {'span': ['6', '8'], 'label': 'No_rel'}, {'span': ['7', '8'], 'label': 'No_rel'}, {'span': ['8', '0'], 'label': 'root'}]}"
345,उष्णेन युक्ताः रूक्षआद्याः वायोः कुर्वन्ति सञ्चयम् .,"{'tokens': ['उष्णेन', 'युक्ताः', 'रूक्षआद्याः', 'वायोः', 'कुर्वन्ति', 'सञ्चयम्', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'बहुव्रीहिः'}, {'span': ['4', '9'], 'label': 'Comp_root'}, {'span': ['5', '9'], 'label': 'No_rel'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
346,(रूक्षाद्याः) शीतेन कोपम् कुर्वन्ति उष्णेन च शमम् कुर्वन्ति स्निग्धआदयः गुणाः .,"{'tokens': ['(रूक्षाद्याः)', 'शीतेन', 'कोपम्', 'कुर्वन्ति', 'उष्णेन', 'च', 'शमम्', 'कुर्वन्ति', 'स्निग्धआदयः', 'गुणाः', '.'], 'compounds': [{'span': ['1', '13'], 'label': 'No_rel'}, {'span': ['2', '13'], 'label': 'No_rel'}, {'span': ['3', '13'], 'label': 'No_rel'}, {'span': ['4', '13'], 'label': 'No_rel'}, {'span': ['5', '13'], 'label': 'No_rel'}, {'span': ['6', '13'], 'label': 'No_rel'}, {'span': ['7', '13'], 'label': 'No_rel'}, {'span': ['8', '13'], 'label': 'No_rel'}, {'span': ['9', '13'], 'label': 'No_rel'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
347,शीतेन युक्ताः ताक्ष्णआद्याः चयम् पित्तस्य कुर्वते .,"{'tokens': ['शीतेन', 'युक्ताः', 'ताक्ष्णआद्याः', 'चयम्', 'पित्तस्य', 'कुर्वते', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'बहुव्रीहिः'}, {'span': ['4', '9'], 'label': 'Comp_root'}, {'span': ['5', '9'], 'label': 'No_rel'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
348,(तीक्ष्णादयः) उष्णेन कोपम् (कुर्वते) मन्दाद्याः शमम् (कुर्वते) शीतउपसंहिताः .,"{'tokens': ['(तीक्ष्णादयः)', 'उष्णेन', 'कोपम्', '(कुर्वते)', 'मन्दाद्याः', 'शमम्', '(कुर्वते)', 'शीतउपसंहिताः', '.'], 'compounds': [{'span': ['1', '11'], 'label': 'No_rel'}, {'span': ['2', '11'], 'label': 'No_rel'}, {'span': ['3', '11'], 'label': 'No_rel'}, {'span': ['4', '11'], 'label': 'No_rel'}, {'span': ['5', '11'], 'label': 'No_rel'}, {'span': ['6', '11'], 'label': 'No_rel'}, {'span': ['7', '11'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'तृतीया-तत्पुरुषः'}, {'span': ['9', '11'], 'label': 'Comp_root'}, {'span': ['10', '11'], 'label': 'No_rel'}, {'span': ['11', '0'], 'label': 'root'}]}"
349,शीतेन युक्ताः स्निग्धआदयः कुर्वते श्लेष्मणः चयम् .,"{'tokens': ['शीतेन', 'युक्ताः', 'स्निग्धआदयः', 'कुर्वते', 'श्लेष्मणः', 'चयम्', '.'], 'compounds': [{'span': ['1', '9'], 'label': 'No_rel'}, {'span': ['2', '9'], 'label': 'No_rel'}, {'span': ['3', '4'], 'label': 'बहुव्रीहिः'}, {'span': ['4', '9'], 'label': 'Comp_root'}, {'span': ['5', '9'], 'label': 'No_rel'}, {'span': ['6', '9'], 'label': 'No_rel'}, {'span': ['7', '9'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'No_rel'}, {'span': ['9', '0'], 'label': 'root'}]}"
350,(स्निग्धादयः) उष्णेन कोपम् (कुर्वते) तेन एव गुणाः रूक्षआदयः शमम् (कुर्वते) .,"{'tokens': ['(स्निग्धादयः)', 'उष्णेन', 'कोपम्', '(कुर्वते)', 'तेन', 'एव', 'गुणाः', 'रूक्षआदयः', 'शमम्', '(कुर्वते)', '.'], 'compounds': [{'span': ['1', '13'], 'label': 'No_rel'}, {'span': ['2', '13'], 'label': 'No_rel'}, {'span': ['3', '13'], 'label': 'No_rel'}, {'span': ['4', '13'], 'label': 'No_rel'}, {'span': ['5', '13'], 'label': 'No_rel'}, {'span': ['6', '13'], 'label': 'No_rel'}, {'span': ['7', '13'], 'label': 'No_rel'}, {'span': ['8', '9'], 'label': 'बहुव्रीहिः'}, {'span': ['9', '13'], 'label': 'Comp_root'}, {'span': ['10', '13'], 'label': 'No_rel'}, {'span': ['11', '13'], 'label': 'No_rel'}, {'span': ['12', '13'], 'label': 'No_rel'}, {'span': ['13', '0'], 'label': 'root'}]}"
