sentence,gold
प्राणआदिभेदात् पञ्चआत्मा वायुः (भवति) .,"{""tokens"": [""प्राण"", ""आदि"", ""भेदात्"", ""पञ्च"", ""आत्मा"", ""वायुः"", ""(भवति)"", "".""], ""compounds"": ""1\tप्राण-\tप्राण-\t2\tComp2\t_\tबहुव्रीहिः\n2\tआदि-\tआदि-\t3\tComp2\t_\tComp_root\n3\tभेदात्\tभेदात्\t9\tComp2\t_\tहेतुः\n4\tपञ्च-\tपञ्च-\t5\tComp2\t_\tसमाहार-द्विगुः\n5\tआत्मा\tआत्मा\t9\tComp2\t_\tComp_root\n6\tवायुः\tवायुः\t9\tCompNo\t_\tNo_rel\n7\t(भवति)\t(भवति)\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
प्राणः अत्र मूर्धगः (भवति) उरःकण्ठचरः बुद्धिहृदयइन्द्रियचित्धृक् ष्ठीवनक्षवथुउद्गारनिःश्वासअन्नप्रवेशकृत् .,"{""tokens"": [""प्राणः"", ""अत्र"", ""मूर्ध"", ""गः"", ""(भवति)"", ""उरः"", ""कण्ठ"", ""चरः"", ""बुद्धि"", ""हृदय"", ""इन्द्रिय"", ""चित्"", ""धृक्"", ""ष्ठीवन"", ""क्षवथु"", ""उद्गार"", ""निःश्वास"", ""अन्न"", ""प्रवेश"", ""कृत्"", "".""], ""compounds"": ""1\tप्राणः\tप्राणः\t22\tCompNo\t_\tNo_rel\n2\tअत्र\tअत्र\t22\tCompNo\t_\tNo_rel\n3\tमूर्ध-\tमूर्धगः\t22\tCompNo\t_\tNo_rel\n4\tगः\t_\t22\tCompNo\t_\tNo_rel\n5\t(भवति)\t(भवति)\t22\tCompNo\t_\tNo_rel\n6\tउरः-\tउरः-कण्ठ-चरः\t7\tComp3\t_\tइतरेतर-द्वन्द्वः\n7\tकण्ठ-\t--\t8\tComp3\t_\tउपपद-तत्पुरुषः\n8\tचरः\t--\t22\tComp3\t_\tComp_root\n9\tबुद्धि-\tबुद्धि-हृदय-इन्द्रिय-चित्-धृक्\t10\tComp5\t_\tइतरेतर-द्वन्द्वः\n10\tहृदय-\t--\t11\tComp5\t_\tइतरेतर-द्वन्द्वः\n11\tइन्द्रिय-\t--\t12\tComp5\t_\tइतरेतर-द्वन्द्वः\n12\tचित्-\t--\t13\tComp5\t_\tउपपद-तत्पुरुषः\n13\tधृक्\t--\t22\tComp5\t_\tComp_root\n14\tष्ठीवन-\tष्ठीवन-क्षवथु-उद्गार-निःश्वास-अन्न-प्रवेश-कृत्\t15\tComp7\t_\tइतरेतर-द्वन्द्वः\n15\tक्षवथु-\t--\t16\tComp7\t_\tइतरेतर-द्वन्द्वः\n16\tउद्गार-\t--\t17\tComp7\t_\tइतरेतर-द्वन्द्वः\n17\tनिःश्वास-\t--\t18\tComp7\t_\tइतरेतर-द्वन्द्वः\n18\tअन्न-\t--\t19\tComp7\t_\tषष्ठी-तत्पुरुषः\n19\tप्रवेश-\t--\t20\tComp7\t_\tउपपद-तत्पुरुषः\n20\tकृत्\t--\t22\tComp7\t_\tComp_root\n21\t.\t.\t22\tCompNo\t_\tNo_rel\n22\tDUMMY\t_\t0\tCompNo\t_\troot""}"
उरः स्थानम् उदानस्य नासानाभिगलान् चरेत् वाक्प्रवृत्तिप्रयत्नऊर्जाबलवर्णस्मृतिक्रियः (भवति) (उदानः),"{""tokens"": [""उरः"", ""स्थानम्"", ""उदानस्य"", ""नासा"", ""नाभि"", ""गलान्"", ""चरेत्"", ""वाक्"", ""प्रवृत्ति"", ""प्रयत्न"", ""ऊर्जा"", ""बल"", ""वर्ण"", ""स्मृति"", ""क्रियः"", ""(भवति)"", ""(उदानः)""], ""compounds"": ""1\tउरः\tउरः\t18\tCompNo\t_\tNo_rel\n2\tस्थानम्\tस्थानम्\t18\tCompNo\t_\tNo_rel\n3\tउदानस्य\tउदानस्य\t18\tCompNo\t_\tNo_rel\n4\tनासा-\tनासा-नाभि-गलान्\t5\tComp3\t_\tइतरेतर-द्वन्द्वः\n5\tनाभि-\t--\t6\tComp3\t_\tइतरेतर-द्वन्द्वः\n6\tगलान्\t--\t18\tComp3\t_\tComp_root\n7\tचरेत्\tचरेत्\t18\tCompNo\t_\tNo_rel\n8\tवाक्-\tवाक्-प्रवृत्ति-प्रयत्न-ऊर्जा-बल-वर्ण-स्मृति-क्रियः\t9\tComp8\t_\tषष्ठी-तत्पुरुषः\n9\tप्रवृत्ति-\t--\t10\tComp8\t_\tइतरेतर-द्वन्द्वः\n10\tप्रयत्न-\t--\t11\tComp8\t_\tइतरेतर-द्वन्द्वः\n11\tऊर्जा-\t--\t12\tComp8\t_\tइतरेतर-द्वन्द्वः\n12\tबल-\t--\t13\tComp8\t_\tइतरेतर-द्वन्द्वः\n13\tवर्ण-\t--\t14\tComp8\t_\tइतरेतर-द्वन्द्वः\n14\tस्मृति-\t--\t15\tComp8\t_\tउपपद-तत्पुरुषः\n15\tक्रियः\t--\t18\tComp8\t_\tComp_root\n16\t(भवति)\t(भवति)\t18\tCompNo\t_\tNo_rel\n17\t(उदानः)\t(उदानः)\t18\tCompNo\t_\tNo_rel\n18\tDUMMY\t_\t0\tCompNo\t_\troot""}"
व्यानः हृदि स्थितः कृत्स्नदेहचारी महाजवः (भवति) .,"{""tokens"": [""व्यानः"", ""हृदि"", ""स्थितः"", ""कृत्स्न"", ""देह"", ""चारी"", ""महाजवः"", ""(भवति)"", "".""], ""compounds"": ""1\tव्यानः\tव्यानः\t10\tCompNo\t_\tNo_rel\n2\tहृदि\tहृदि\t10\tCompNo\t_\tNo_rel\n3\tस्थितः\tस्थितः\t10\tCompNo\t_\tNo_rel\n4\tकृत्स्न-\tकृत्स्न-देहचारी\t5\tComp2\t_\tकर्मधारयः\n5\tदेह-\tदेह-\t6\tComp2\t_\tComp_root\n6\tचारी\tचारी\t10\tComp2\t_\tविधेय_विशेषणम्\n7\tमहाजवः\tमहाजवः\t10\tCompNo\t_\tNo_rel\n8\t(भवति)\t(भवति)\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
गतिअपक्षेपणउतक्षेपनिमेशउन्मेषणआदिकाः प्रायः सर्वाः क्रियाः तस्मिन् (व्याने) प्रतिबद्धाः शरीरिणाम् .,"{""tokens"": [""गति"", ""अपक्षेपण"", ""उतक्षेप"", ""निमेश"", ""उन्मेषण"", ""आदिकाः"", ""प्रायः"", ""सर्वाः"", ""क्रियाः"", ""तस्मिन्"", ""(व्याने)"", ""प्रतिबद्धाः"", ""शरीरिणाम्"", "".""], ""compounds"": ""1\tगति-\tगति-अपक्षेपण-उतक्षेप-निमेश-उन्मेषण-आदिकाः\t2\tComp6\t_\tइतरेतर-द्वन्द्वः\n2\tअपक्षेपण-\t--\t3\tComp6\t_\tइतरेतर-द्वन्द्वः\n3\tउतक्षेप-\t--\t4\tComp6\t_\tइतरेतर-द्वन्द्वः\n4\tनिमेश-\t--\t5\tComp6\t_\tइतरेतर-द्वन्द्वः\n5\tउन्मेषण-\t--\t6\tComp6\t_\tबहुव्रीहिः\n6\tआदिकाः\t--\t15\tComp6\t_\tComp_root\n7\tप्रायः\tप्रायः\t15\tCompNo\t_\tNo_rel\n8\tसर्वाः\tसर्वाः\t15\tCompNo\t_\tNo_rel\n9\tक्रियाः\tक्रियाः\t15\tCompNo\t_\tNo_rel\n10\tतस्मिन्\tतस्मिन्\t15\tCompNo\t_\tNo_rel\n11\t(व्याने)\t(व्याने)\t15\tCompNo\t_\tNo_rel\n12\tप्रतिबद्धाः\tप्रतिबद्धाः\t15\tCompNo\t_\tNo_rel\n13\tशरीरिणाम्\tशरीरिणाम्\t15\tCompNo\t_\tNo_rel\n14\t.\t.\t15\tCompNo\t_\tNo_rel\n15\tDUMMY\t_\t0\tCompNo\t_\troot""}"
समानः अग्निसमीपस्थः कोष्ठे चरति सर्वतः अन्नम् गृह्णाति पचति विवेचयति मुञ्चति (च) .,"{""tokens"": [""समानः"", ""अग्नि"", ""समीप"", ""स्थः"", ""कोष्ठे"", ""चरति"", ""सर्वतः"", ""अन्नम्"", ""गृह्णाति"", ""पचति"", ""विवेचयति"", ""मुञ्चति"", ""(च)"", "".""], ""compounds"": ""1\tसमानः\tसमानः\t15\tCompNo\t_\tNo_rel\n2\tअग्नि-\tअग्नि-समीपस्थः\t3\tComp2\t_\tषष्ठी-तत्पुरुषः\n3\tसमीप-\tसमीप-\t4\tComp2\t_\tComp_root\n4\tस्थः\t_\t15\tComp2\t_\tविधेय_विशेषणम्\n5\tकोष्ठे\tकोष्ठे\t15\tCompNo\t_\tNo_rel\n6\tचरति\tचरति\t15\tCompNo\t_\tNo_rel\n7\tसर्वतः\tसर्वतः\t15\tCompNo\t_\tNo_rel\n8\tअन्नम्\tअन्नम्\t15\tCompNo\t_\tNo_rel\n9\tगृह्णाति\tगृह्णाति\t15\tCompNo\t_\tNo_rel\n10\tपचति\tपचति\t15\tCompNo\t_\tNo_rel\n11\tविवेचयति\tविवेचयति\t15\tCompNo\t_\tNo_rel\n12\tमुञ्चति\tमुञ्चति\t15\tCompNo\t_\tNo_rel\n13\t(च)\t(च)\t15\tCompNo\t_\tNo_rel\n14\t.\t.\t15\tCompNo\t_\tNo_rel\n15\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अपानः अपानगः श्रोणिबस्तिमेढ्रउरूगोचरः (भवति) .,"{""tokens"": [""अपानः"", ""अपान"", ""गः"", ""श्रोणि"", ""बस्ति"", ""मेढ्र"", ""उरू"", ""गोचरः"", ""(भवति)"", "".""], ""compounds"": ""1\tअपानः\tअपानः\t11\tCompNo\t_\tNo_rel\n2\tअपान-\tअपान-\t3\tComp2\t_\tउपपद_तत्पुरुषः\n3\tगः\tगः\t11\tComp2\t_\tComp_root\n4\tश्रोणि-\tश्रोणि-बस्ति-मेढ्र-उरू-गोचरः\t5\tComp5\t_\tइतरेतर-द्वन्द्वः\n5\tबस्ति-\t--\t6\tComp5\t_\tइतरेतर-द्वन्द्वः\n6\tमेढ्र-\t--\t7\tComp5\t_\tइतरेतर-द्वन्द्वः\n7\tउरू-\t--\t8\tComp5\t_\tषष्ठी-तत्पुरुषः\n8\tगोचरः\t--\t11\tComp5\t_\tComp_root\n9\t(भवति)\t(भवति)\t11\tCompNo\t_\tNo_rel\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
शुक्रआर्तवशकृत्मूत्रगर्भनिष्क्रमणक्रियः (भवति) (अपानः),"{""tokens"": [""शुक्र"", ""आर्तव"", ""शकृत्"", ""मूत्र"", ""गर्भ"", ""निष्क्रमण"", ""क्रियः"", ""(भवति)"", ""(अपानः)""], ""compounds"": ""1\tशुक्र-\tशुक्र-आर्तव-शकृत्-मूत्र-गर्भ-निष्क्रमण-क्रियः\t2\tComp7\t_\tइतरेतर-द्वन्द्वः\n2\tआर्तव-\t--\t3\tComp7\t_\tइतरेतर-द्वन्द्वः\n3\tशकृत्-\t--\t4\tComp7\t_\tइतरेतर-द्वन्द्वः\n4\tमूत्र-\t--\t5\tComp7\t_\tइतरेतर-द्वन्द्वः\n5\tगर्भ-\t--\t6\tComp7\t_\tषष्ठी-तत्पुरुषः\n6\tनिष्क्रमण-\t--\t7\tComp7\t_\tउपपद-तत्पुरुषः\n7\tक्रियः\t--\t10\tComp7\t_\tComp_root\n8\t(भवति)\t(भवति)\t10\tCompNo\t_\tNo_rel\n9\t(अपानः)\t(अपानः)\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
पित्तम् पञ्चआत्मकम् (भवति) .,"{""tokens"": [""पित्तम्"", ""पञ्च"", ""आत्मकम्"", ""(भवति)"", "".""], ""compounds"": ""1\tपित्तम्\tपित्तम्\t6\tCompNo\t_\tNo_rel\n2\tपञ्च-\tपञ्च-आत्मकम्\t3\tComp2\t_\tसमाहार-द्विगुः\n3\tआत्मकम्\t--\t6\tComp2\t_\tComp_root\n4\t(भवति)\t(भवति)\t6\tCompNo\t_\tNo_rel\n5\t.\t.\t6\tCompNo\t_\tNo_rel\n6\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तत्र (पञ्च) (आत्मके) (पित्ते) पक्वआमाशयमध्यगम् (पाचकम्) (स्मृतम्) .,"{""tokens"": [""तत्र"", ""(पञ्च)"", ""(आत्मके)"", ""(पित्ते)"", ""पक्व"", ""आमाशय"", ""मध्य"", ""गम्"", ""(पाचकम्)"", ""(स्मृतम्)"", "".""], ""compounds"": ""1\tतत्र\tतत्र\t12\tCompNo\t_\tNo_rel\n2\t(पञ्च)\tपञ्चात्मके\t12\tCompNo\t_\tNo_rel\n3\t(आत्मके)\tपञ्चात्मके\t12\tCompNo\t_\tNo_rel\n4\t(पित्ते)\t(पित्ते)\t12\tCompNo\t_\tNo_rel\n5\tपक्व-\tपक्व-आमाशय-मध्यगम्\t6\tComp3\t_\tइतरेतर-द्वन्द्वः\n6\tआमाशय-\tआमाशय\t7\tComp3\t_\tषष्ठी-तत्पुरुषः\n7\tमध्य-\tमध्य-\t8\tComp3\t_\tComp_root\n8\tगम्\tगम्\t12\tComp3\t_\tविशेषणम्\n9\t(पाचकम्)\t(पाचकम्)\t12\tCompNo\t_\tNo_rel\n10\t(स्मृतम्)\t(स्मृतम्)\t12\tCompNo\t_\tNo_rel\n11\t.\t.\t12\tCompNo\t_\tNo_rel\n12\tDUMMY\t_\t0\tCompNo\t_\troot""}"
पञ्चभूतात्मकत्वे अपि यत् तैजसगुणउदयात् (त्यक्तद्रवत्वम्) (तत्) (पाचकम्) (स्मृतम्) (भवति),"{""tokens"": [""पञ्च"", ""भूतात्मकत्वे"", ""अपि"", ""यत्"", ""तैजस"", ""गुण"", ""उदयात्"", ""(त्यक्तद्रवत्वम्)"", ""(तत्)"", ""(पाचकम्)"", ""(स्मृतम्)"", ""(भवति)""], ""compounds"": ""1\tपञ्च-\tपञ्च-भूतात्मकत्वे\t2\tComp2\t_\tसमाहार-द्विगुः\n2\tभूतात्मकत्वे\t--\t13\tComp2\t_\tComp_root\n3\tअपि\tअपि\t13\tCompNo\t_\tNo_rel\n4\tयत्\tयत्\t13\tCompNo\t_\tNo_rel\n5\tतैजस-\tतैजस-गुण-उदयात्\t6\tComp3\t_\tकर्मधारयः\n6\tगुण-\t--\t7\tComp3\t_\tषष्ठी-तत्पुरुषः\n7\tउदयात्\t--\t13\tComp3\t_\tComp_root\n8\t(त्यक्तद्रवत्वम्)\t(त्यक्तद्रवत्वम्)\t13\tCompNo\t_\tNo_rel\n9\t(तत्)\t(तत्)\t13\tCompNo\t_\tNo_rel\n10\t(पाचकम्)\t(पाचकम्)\t13\tCompNo\t_\tNo_rel\n11\t(स्मृतम्)\t(स्मृतम्)\t13\tCompNo\t_\tNo_rel\n12\t(भवति)\t(भवति)\t13\tCompNo\t_\tNo_rel\n13\tDUMMY\t_\t0\tCompNo\t_\troot""}"
त्यक्तद्रवत्वम् पाकआदिकर्मणा अनलशब्दितम् (पाचकम्) (स्मृतम्) .,"{""tokens"": [""त्यक्त"", ""द्रवत्वम्"", ""पाक"", ""आदि"", ""कर्मणा"", ""अनल"", ""शब्दितम्"", ""(पाचकम्)"", ""(स्मृतम्)"", "".""], ""compounds"": ""1\tत्यक्त-\tत्यक्त-द्रवत्वम्\t2\tComp2\t_\tबहुव्रीहिः\n2\tद्रवत्वम्\t--\t11\tComp2\t_\tComp_root\n3\tपाक-\tपाक-आदि-कर्मणा\t4\tComp3\t_\tबहुव्रीहिः\n4\tआदि-\t--\t5\tComp3\t_\tकर्मधारयः\n5\tकर्मणा\t--\t11\tComp3\t_\tComp_root\n6\tअनल-\tअनल-शब्दितम्\t7\tComp2\t_\tकर्मधारयः\n7\tशब्दितम्\t--\t11\tComp2\t_\tComp_root\n8\t(पाचकम्)\t(पाचकम्)\t11\tCompNo\t_\tNo_rel\n9\t(स्मृतम्)\t(स्मृतम्)\t11\tCompNo\t_\tNo_rel\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
पचति अन्नम् विभजते सारकिट्टौ पृथक् तथा .,"{""tokens"": [""पचति"", ""अन्नम्"", ""विभजते"", ""सार"", ""किट्टौ"", ""पृथक्"", ""तथा"", "".""], ""compounds"": ""1\tपचति\tपचति\t9\tCompNo\t_\tNo_rel\n2\tअन्नम्\tअन्नम्\t9\tCompNo\t_\tNo_rel\n3\tविभजते\tविभजते\t9\tCompNo\t_\tNo_rel\n4\tसार-\tसार-किट्टौ\t5\tComp2\t_\tइतरेतर-द्वन्द्वः\n5\tकिट्टौ\t--\t9\tComp2\t_\tComp_root\n6\tपृथक्\tपृथक्\t9\tCompNo\t_\tNo_rel\n7\tतथा\tतथा\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तत्रस्थम् एव पित्तानाम् शेषाणाम् अपि अनुग्रहम् करोति बलदानेन पाचकम् नाम तत् स्मृतम् .,"{""tokens"": [""तत्र"", ""स्थम्"", ""एव"", ""पित्तानाम्"", ""शेषाणाम्"", ""अपि"", ""अनुग्रहम्"", ""करोति"", ""बल"", ""दानेन"", ""पाचकम्"", ""नाम"", ""तत्"", ""स्मृतम्"", "".""], ""compounds"": ""1\tतत्र-\tतत्र-स्थम्\t2\tComp2\t_\tउपपद-तत्पुरुषः\n2\tस्थम्\t--\t16\tComp2\t_\tComp_root\n3\tएव\tएव\t16\tCompNo\t_\tNo_rel\n4\tपित्तानाम्\tपित्तानाम्\t16\tCompNo\t_\tNo_rel\n5\tशेषाणाम्\tशेषाणाम्\t16\tCompNo\t_\tNo_rel\n6\tअपि\tअपि\t16\tCompNo\t_\tNo_rel\n7\tअनुग्रहम्\tअनुग्रहम्\t16\tCompNo\t_\tNo_rel\n8\tकरोति\tकरोति\t16\tCompNo\t_\tNo_rel\n9\tबल-\tबलदानेन\t16\tCompNo\t_\tNo_rel\n10\tदानेन\tदानेन\t16\tCompNo\t_\tNo_rel\n11\tपाचकम्\tपाचकम्\t16\tCompNo\t_\tNo_rel\n12\tनाम\tनाम\t16\tCompNo\t_\tNo_rel\n13\tतत्\tतत्\t16\tCompNo\t_\tNo_rel\n14\tस्मृतम्\tस्मृतम्\t16\tCompNo\t_\tNo_rel\n15\t.\t.\t16\tCompNo\t_\tNo_rel\n16\tDUMMY\t_\t0\tCompNo\t_\troot""}"
आमाशयआश्रयम् पित्तम् रञ्जकम् रसरञ्जनात् उच्यते .,"{""tokens"": [""आमाशय"", ""आश्रयम्"", ""पित्तम्"", ""रञ्जकम्"", ""रस"", ""रञ्जनात्"", ""उच्यते"", "".""], ""compounds"": ""1\tआमाशय-\tआमाशय-आश्रयम्\t2\tComp2\t_\tबहुव्रीहिः\n2\tआश्रयम्\t--\t9\tComp2\t_\tComp_root\n3\tपित्तम्\tपित्तम्\t9\tCompNo\t_\tNo_rel\n4\tरञ्जकम्\tरञ्जकम्\t9\tCompNo\t_\tNo_rel\n5\tरस-\tरस-रञ्जनात्\t6\tComp2\t_\tतृतीया-तत्पुरुषः\n6\tरञ्जनात्\t--\t9\tComp2\t_\tComp_root\n7\tउच्यते\tउच्यते\t9\tCompNo\t_\tNo_rel\n8\t.\t.\t9\tCompNo\t_\tNo_rel\n9\tDUMMY\t_\t0\tCompNo\t_\troot""}"
बुद्धिमेधाअभिमानआद्यैः अभिप्रेतअर्थसाधनात् साधकम् हृद्गतम् पित्तम् उच्यते .,"{""tokens"": [""बुद्धि"", ""मेधा"", ""अभिमान"", ""आद्यैः"", ""अभिप्रेत"", ""अर्थ"", ""साधनात्"", ""साधकम्"", ""हृद्गतम्"", ""पित्तम्"", ""उच्यते"", "".""], ""compounds"": ""1\tबुद्धि-\tबुद्धि-मेधा-अभिमान-आद्यैः\t2\tComp4\t_\tइतरेतर-द्वन्द्वः\n2\tमेधा-\t--\t3\tComp4\t_\tइतरेतर-द्वन्द्वः\n3\tअभिमान-\t--\t4\tComp4\t_\tबहुव्रीहिः\n4\tआद्यैः\t--\t13\tComp4\t_\tComp_root\n5\tअभिप्रेत-\tअभिप्रेत-अर्थ-साधनात्\t6\tComp3\t_\tकर्मधारयः\n6\tअर्थ-\t--\t7\tComp3\t_\tषष्ठी-तत्पुरुषः\n7\tसाधनात्\t--\t13\tComp3\t_\tComp_root\n8\tसाधकम्\tसाधकम्\t13\tCompNo\t_\tNo_rel\n9\tहृद्गतम्\tहृद्गतम्\t13\tCompNo\t_\tNo_rel\n10\tपित्तम्\tपित्तम्\t13\tCompNo\t_\tNo_rel\n11\tउच्यते\tउच्यते\t13\tCompNo\t_\tNo_rel\n12\t.\t.\t13\tCompNo\t_\tNo_rel\n13\tDUMMY\t_\t0\tCompNo\t_\troot""}"
रूपआलोचनातः स्मृतम् दृक्स्थम् आलोचकम् .,"{""tokens"": [""रूप"", ""आलोचनातः"", ""स्मृतम्"", ""दृक्"", ""स्थम्"", ""आलोचकम्"", "".""], ""compounds"": ""1\tरूप-\tरूप-आलोचनातः\t2\tComp2\t_\tषष्ठी-तत्पुरुषः\n2\tआलोचनातः\t--\t8\tComp2\t_\tComp_root\n3\tस्मृतम्\tस्मृतम्\t8\tCompNo\t_\tNo_rel\n4\tदृक्-\tदृक्-\t5\tComp2\t_\tउपपद-तत्पुरुषः\n5\tस्थम्\tदृक्स्थम्\t8\tComp2\t_\tComp_root\n6\tआलोचकम्\tआलोचकम्\t8\tCompNo\t_\tNo_rel\n7\t.\t.\t8\tCompNo\t_\tNo_rel\n8\tDUMMY\t_\t0\tCompNo\t_\troot""}"
त्वक्स्थम् भ्राजकम् भ्राजनात् त्वचः (उच्यते) .,"{""tokens"": [""त्वक्"", ""स्थम्"", ""भ्राजकम्"", ""भ्राजनात्"", ""त्वचः"", ""(उच्यते)"", "".""], ""compounds"": ""1\tत्वक्-\tत्वक्-स्थम्\t2\tComp2\t_\tउपपद-तत्पुरुषः\n2\tस्थम्\t--\t8\tComp2\t_\tComp_root\n3\tभ्राजकम्\tभ्राजकम्\t8\tCompNo\t_\tNo_rel\n4\tभ्राजनात्\tभ्राजनात्\t8\tCompNo\t_\tNo_rel\n5\tत्वचः\tत्वचः\t8\tCompNo\t_\tNo_rel\n6\t(उच्यते)\t(उच्यते)\t8\tCompNo\t_\tNo_rel\n7\t.\t.\t8\tCompNo\t_\tNo_rel\n8\tDUMMY\t_\t0\tCompNo\t_\troot""}"
श्लेष्मा तु पञ्चधा (भवति) .,"{""tokens"": [""श्लेष्मा"", ""तु"", ""पञ्चधा"", ""(भवति)"", "".""], ""compounds"": ""1\tश्लेष्मा\tश्लेष्मा\t6\tCompNo\t_\tNo_rel\n2\tतु\tतु\t6\tCompNo\t_\tNo_rel\n3\tपञ्चधा\tपञ्चधा\t6\tCompNo\t_\tNo_rel\n4\t(भवति)\t(भवति)\t6\tCompNo\t_\tNo_rel\n5\t.\t.\t6\tCompNo\t_\tNo_rel\n6\tDUMMY\t_\t0\tCompNo\t_\troot""}"
उरःस्थः सः त्रिकस्य स्ववीर्यतः हृदयस्य अन्नवीर्यात् च अवलम्बनम् करोति (श्लेष्मा),"{""tokens"": [""उरः"", ""स्थः"", ""सः"", ""त्रिकस्य"", ""स्व"", ""वीर्यतः"", ""हृदयस्य"", ""अन्न"", ""वीर्यात्"", ""च"", ""अवलम्बनम्"", ""करोति"", ""(श्लेष्मा)""], ""compounds"": ""1\tउरः-\tउरः-\t2\tComp2\t_\tउपपद-तत्पुरुषः\n2\tस्थः\tउरःस्थः\t14\tComp2\t_\tComp_root\n3\tसः\tसः\t14\tCompNo\t_\tNo_rel\n4\tत्रिकस्य\tत्रिकस्य\t14\tCompNo\t_\tNo_rel\n5\tस्व-\tस्व-\t6\tComp2\t_\tषष्ठी-तत्पुरुषः\n6\tवीर्यतः\tस्ववीर्यतः\t14\tComp2\t_\tComp_root\n7\tहृदयस्य\tहदयस्य\t14\tCompNo\t_\tNo_rel\n8\tअन्न-\tअन्न-वीर्यात्\t9\tComp2\t_\tषष्ठी-तत्पुरुषः\n9\tवीर्यात्\t--\t14\tComp2\t_\tComp_root\n10\tच\tच\t14\tCompNo\t_\tNo_rel\n11\tअवलम्बनम्\tअवलम्बनम्\t14\tCompNo\t_\tNo_rel\n12\tकरोति\tकरोति\t14\tCompNo\t_\tNo_rel\n13\t(श्लेष्मा)\t(श्लेष्मा)\t14\tCompNo\t_\tNo_rel\n14\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तत्स्थः एव अम्बुकर्मणा कफधाम्नाम् च शेषाणाम् यत् करोति अवलम्बनम् .,"{""tokens"": [""तत्"", ""स्थः"", ""एव"", ""अम्बु"", ""कर्मणा"", ""कफ"", ""धाम्नाम्"", ""च"", ""शेषाणाम्"", ""यत्"", ""करोति"", ""अवलम्बनम्"", "".""], ""compounds"": ""1\tतत्-\tतत्-स्थः\t2\tComp2\t_\tसप्तमी-तत्पुरुषः\n2\tस्थः\t--\t14\tComp2\t_\tComp_root\n3\tएव\tएव\t14\tCompNo\t_\tNo_rel\n4\tअम्बु-\tअम्बु-कर्मणा\t5\tComp2\t_\tषष्ठी-तत्पुरुषः\n5\tकर्मणा\t--\t14\tComp2\t_\tComp_root\n6\tकफ-\tकफ-नाम्नाम्\t7\tComp2\t_\tषष्ठी-तत्पुरुषः\n7\tधाम्नाम्\t--\t14\tComp2\t_\tComp_root\n8\tच\tच\t14\tCompNo\t_\tNo_rel\n9\tशेषाणाम्\tशेषाणाम्\t14\tCompNo\t_\tNo_rel\n10\tयत्\tयत्\t14\tCompNo\t_\tNo_rel\n11\tकरोति\tकरोति\t14\tCompNo\t_\tNo_rel\n12\tअवलम्बनम्\tअवलम्बनम्\t14\tCompNo\t_\tNo_rel\n13\t.\t.\t14\tCompNo\t_\tNo_rel\n14\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अतः अवलम्बकः श्लेष्मा (उच्यते) .,"{""tokens"": [""अतः"", ""अवलम्बकः"", ""श्लेष्मा"", ""(उच्यते)"", "".""], ""compounds"": ""1\tअतः\tअतः\t6\tCompNo\t_\tNo_rel\n2\tअवलम्बकः\tअवलम्बकः\t6\tCompNo\t_\tNo_rel\n3\tश्लेष्मा\tश्लेष्मा\t6\tCompNo\t_\tNo_rel\n4\t(उच्यते)\t(उच्यते)\t6\tCompNo\t_\tNo_rel\n5\t.\t.\t6\tCompNo\t_\tNo_rel\n6\tDUMMY\t_\t0\tCompNo\t_\troot""}"
